Mã MH,Tên MH,Số tín chỉ,Nhóm lớp,DK/ Sĩ số,Ngôn ngữ,Nhóm LT,Giảng viên,Nhóm BT,Giảng viên BT/TN,Sĩ số LT,Thứ(Buổi 1),Tiết(Buổi 1),Phòng(Buổi 1),CS(Buổi 1),Thứ(Buổi 2),Tiết(Buổi 2),Phòng(Buổi 2),CS(Buổi 2),Thứ(Buổi 3),Tiết(Buổi 3),Phòng(Buổi 3),CS(Buổi 3)
003709 ,Mip(tpháp hnhập nnghiệp),1.0,P01,40/40,V,P01,Phạm Thị Ngọc Diệp ,, ,40,Thứ 5 ,7 8 9,B1-302 ,1 ,,,,,,,,
003709 ,Mip(tpháp hnhập nnghiệp),1.0,P02,37/40,V,P02,Phạm Thị Ngọc Diệp ,, ,40,Thứ 5 ,2 3 4,B1-303 ,1 ,,,,,,,,
003709 ,Mip(tpháp hnhập nnghiệp),1.0,P03,37/40,V,P03,Phạm Thị Ngọc Diệp ,, ,40,Thứ 6 ,10 11 12,B8-302 ,1 ,,,,,,,,
003724 ,Anh văn 9 (xd),2.0,P01,18/60,V,P01,Hồ Thị Nam Trân ,, ,60,Thứ 2 ,8 9 10,B8-301 ,1 ,,,,,,,,
007302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,Lê Cao Đăng ,, ,200,,,,1 ,,,,,,,,
007303 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01,Huỳnh Quang Linh ,, ,200,,,,1 ,,,,,,,,
007710 ,Âm thanh công trình,2.0,P01,11/60,V,P01,Dương Minh Phát ,, ,60,Thứ 4 ,7 8 9,B4-402 ,1 ,,,,,,,,
201302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,Phạm Bảo Toàn ,, ,200,,,,1 ,,,,,,,,
201303 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01,Vũ Công Hòa ,, ,200,,,,1 ,,,,,,,,
201704 ,Cơ học bay 2,2.0,P01,16/60,V,P01,Ngô Khánh Hiếu ,, ,60,Thứ 2 ,2 3,C6-603 ,1 ,,,,,,,,
202302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,,, ,200,,,,1 ,,,,,,,,
202303 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01,,, ,200,,,,1 ,,,,,,,,
202702 ,Các cảm biến,2.0,P01,16/60,V,P01,Thái Thị Thu Hà ,, ,60,Thứ 6 ,4 5 6,B1-314 ,1 ,,,,,,,,
203302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,Lưu Thanh Tùng ,, ,200,,,,1 ,,,,,,,,
203303 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01,Lương Văn Tới ,, ,200,,,,1 ,,,,,,,,
204302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,Nguyễn Thị Như Lan ,, ,200,,,,1 ,,,,,,,,
204303 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01,Nguyễn Thị Như Lan ,, ,200,,,,1 ,,,,,,,,
206302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01, ,, ,200,,,,1 ,,,,,,,,
206303 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01, ,, ,200,,,,1 ,,,,,,,,
208302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,Lê Tất Hiển ,, ,200,,,,1 ,,,,,,,,
208303 ,Luận văn tốt nghiệp,10.0,T01,2/200,V,T01,Trần Văn Tạo ,, ,200,,,,1 ,,,,,,,,
209302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,,, ,200,,,,1 ,,,,,,,,
209303 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01,,, ,200,,,,1 ,,,,,,,,
210302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,Nguyễn Văn Hạnh ,, ,200,,,,1 ,,,,,,,,
210303 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01,Nguyễn Thị Minh Trinh ,, ,200,,,,1 ,,,,,,,,
213302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,Lê Thị Hồng Hiếu ,, ,200,,,,1 ,,,,,,,,
213303 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01,Lê Thị Hồng Hiếu ,, ,200,,,,1 ,,,,,,,,
213700 ,Luận văn tốt nghiệp,10.0,P01,5/300,V,P01,Nguyễn Song Thanh Thảo ,, ,300,,,,1 ,,,,,,,,
213707 ,Máy cánhdẫn &máytl ttích,4.0,P01,16/60,V,P01,Lê Thị Minh Nghĩa ,, ,60,Thứ 4 ,10 11 12,B8-302 ,1 ,,,,,,,,
213708 ,Khí độnglựchọc chuyênsâu,2.0,P01,17/60,V,P01,Lê Thị Hồng Hiếu ,, ,60,Thứ 6 ,4 5,B1-302 ,1 ,,,,,,,,
213709 ,Bảo dưỡng hàng không,3.0,P01,16/60,V,P01,Nguyễn Anh Vũ ,, ,60,Thứ 7 ,3 4,B6-304 ,1 ,,,,,,,,
213710 ,Thiết kế máy bay,3.0,P01,16/60,V,P01,Vũ Ngọc ánh ,, ,60,Thứ 2 ,4 5,B4-504 ,1 ,,,,,,,,
213711 ,Luật hàng không,2.0,P01,19/60,V,P01,Nguyễn Minh Tâm ,, ,60,Thứ 2 ,7 8,B1-211 ,1 ,,,,,,,,
213712 ,Các hệ thống trên máybay,3.0,P01,15/60,V,P01, ,, ,60,Thứ 3 ,4 5,B1-215 ,1 ,,,,,,,,
213713 ,Khai thác & qlý máy bay,2.0,P01,11/60,V,P01, ,, ,60,Thứ 5 ,11 12,B4-302 ,1 ,,,,,,,,
213719 ,ĐAMH thiết kế kỹ thuật,3.0,P01,1/60,V,P01,Nguyễn Song Thanh Thảo ,, ,60,,,,1 ,,,,,,,,
213750 ,Thực tập tốt nghiệp,0.0,P01,3/300,V,P01,Lê Thị Hồng Hiếu ,, ,300,,,,1 ,,,,,,,,
214302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,,, ,200,,,,1 ,,,,,,,,
214303 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01,,, ,200,,,,1 ,,,,,,,,
214701 ,Kthức về các xínghiệp cn,1.0,P01,19/60,V,P01,Lại Huy Hùng ,, ,60,Thứ 5 ,11 12,B10-206 ,1 ,,,,,,,,
215302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01, ,, ,200,,,,1 ,,,,,,,,
215303 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01, ,, ,200,,,,1 ,,,,,,,,
215702 ,Vật liệu hàng không,2.0,P01,16/60,V,P01,Nguyễn Song Thanh Thảo ,, ,60,Thứ 4 ,8 9,B10-202 ,1 ,,,,,,,,
215706 ,Vật liệu composit,2.0,P01,9/60,V,P01,Trương Thu Thủy ,, ,60,Thứ 2 ,7 8 9,B4-405 ,1 ,,,,,,,,
215707 ,"V/liệu bd, dđ, cách điện",2.0,P01,9/60,V,P01,Trần Việt Toàn ,, ,60,Thứ 6 ,2 3 4,B6-303 ,1 ,,,,,,,,
215708 ,Vật liệu siêu dẫn t/tiến,2.0,P01,9/60,V,P01,Trần Việt Toàn ,, ,60,Thứ 3 ,9 10 11,B4-504 ,1 ,,,,,,,,
215709 ,VL l/kiện điện tử &q/học,2.0,P01,9/60,V,P01,Lưu Tuấn Anh ,, ,60,Thứ 3 ,4 5 6,B4-504 ,1 ,,,,,,,,
215710 ,Vật liệu màng mỏng,2.0,P01,10/60,V,P01,Nguyễn Thị Mỹ Anh ,, ,60,Thứ 6 ,10 11 12,B4-302 ,1 ,,,,,,,,
215711 ,V/Liệu nano &vl sinh học,2.0,P01,9/60,V,P01,Nguyễn Thị Minh Nguyệt ,, ,60,Thứ 2 ,2 3 4,B6-303 ,1 ,,,,,,,,
215712 ,N/môn v/lý l/kiện &vi dt,2.0,P01,9/60,V,P01,Đoàn Đức Chánh Tín ,, ,60,Thứ 2 ,10 11 12,B4-405 ,1 ,,,,,,,,
215713 ,Vl &qt in ảnh lito &khắc,2.0,P01,9/60,V,P01,Đặng Thị Mỹ Dung ,, ,60,Thứ 4 ,2 3 4,B8-301 ,1 ,,,,,,,,
215714 ,Thực hành mô phỏng,2.0,P01,9/60,V,P01,Đoàn Đức Chánh Tín ,, ,60,,,,1 ,,,,,,,,
215716 ,C/nghệ c/bản c/tạo vi ht,2.0,P01,9/60,V,P01,Đặng Mậu Chiến ,, ,60,Thứ 5 ,9 10 11,B4-402 ,1 ,,,,,,,,
215717 ,TH c/nghệ chế tạo vi ht,2.0,P01,9/60,V,P01,Đặng Thị Mỹ Dung ,, ,60,,,,1 ,,,,,,,,
215719 ,Linh kiện quang tử,2.0,P01,9/60,V,P01,Đoàn Đức Chánh Tín ,, ,60,Thứ 6 ,7 8 9,B4-302 ,1 ,,,,,,,,
216302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,Lương Thị Quỳnh Anh ,, ,200,,,,1 ,,,,,,,,
216303 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01,Trần Văn Khải ,, ,200,,,,1 ,,,,,,,,
216700 ,Luận văn tốt nghiệp,10.0,P01,4/300,V,P01,Lưu Tuấn Anh ,, ,300,,,,1 ,,,,,,,,
216750 ,Thực tập tốt nghiệp,0.0,P01,4/300,V,P01,Lưu Tuấn Anh ,, ,300,,,,1 ,,,,,,,,
216757 ,Thực tập ngoài trường,0.0,P01,0/300,V,P01,,, ,300,,,,1 ,,,,,,,,
217302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,Nguyễn Vũ Uyên Nhi ,, ,200,,,,1 ,,,,,,,,
217303 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01,Nguyễn Khánh Sơn ,, ,200,,,,1 ,,,,,,,,
217750 ,Thực tập tốt nghiệp,0.0,P01,0/300,V,P01,,, ,300,,,,1 ,,,,,,,,
218302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,,, ,200,,,,1 ,,,,,,,,
218303 ,Luận văn tốt nghiệp,10.0,T01,1/200,V,T01,,, ,200,,,,1 ,,,,,,,,
218700 ,Luận văn tốt nghiệp,10.0,P01,3/300,V,P01,,, ,300,,,,1 ,,,,,,,,
218708 ,ĐAMH thiết kế kỹ thuật,3.0,P01,1/60,V,P01,,, ,60,,,,1 ,,,,,,,,
218750 ,Thực tập tốt nghiệp,0.0,P01,3/300,V,P01,,, ,300,,,,1 ,,,,,,,,
219303 ,Tiểu luận tốt nghiệp,10.0,T01,0/200,V,T01,Đặng Anh Duy ,, ,200,,,,1 ,,,,,,,,
260663 ,Tiểu luận tốt nghiệp,5.0,L01,0/300,V,L01,Đặng Anh Duy ,, ,300,,,,1 ,,,,,,,,
300302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,Hoàng Trọng Quang ,, ,200,,,,1 ,,,,,,,,
300303 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01,Phùng Đại Khánh ,, ,200,,,,1 ,,,,,,,,
301302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,Đặng Thương Huyền ,, ,200,,,,1 ,,,,,,,,
301303 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01,Đặng Thương Huyền ,, ,200,,,,1 ,,,,,,,,
302302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,Trương Quốc Thanh ,, ,200,,,,1 ,,,,,,,,
302303 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01,Nguyễn Tuấn ,, ,200,,,,1 ,,,,,,,,
303017 ,ĐAMH nền móng công trình,1.0,L01,1/5000,V,L01,Võ Thanh Long ,, ,5000,,,,1 ,,,,,,,,
303302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,Ngô Tấn Phong ,, ,200,,,,1 ,,,,,,,,
303303 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01,Phạm Minh Tuấn ,, ,200,,,,1 ,,,,,,,,
305302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,Lê Thanh Phong ,, ,200,,,,1 ,,,,,,,,
305303 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01,Lê Thanh Phong ,, ,200,,,,1 ,,,,,,,,
400009 ,ĐAMH điện năng 2,1.0,L01,1/60,V,L01,,, ,60,,,,1 ,,,,,,,,
400302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,,, ,200,,,,1 ,,,,,,,,
400303 ,Luận văn tốt nghiệp,10.0,T01,1/200,V,T01,,, ,200,,,,1 ,,,,,,,,
400409 ,Đồ án 2,1.0,TT01,6/5000,TA,TT01,,, ,5000,,,,1 ,,,,,,,,
400416 ,Đồ án 1,1.0,TT01,0/5000,TA,TT01,,, ,5000,,,,1 ,,,,,,,,
400431 ,Thực tập tốt nghiệp,2.0,TT01,5/300,TA,TT01,,, ,300,,,,1 ,,,,,,,,
400433 ,Luận văn tốt nghiệp,8.0,TT01,48/300,TA,TT01,,, ,300,,,,1 ,,,,,,,,
401403 ,Thí nghiệm điện tử csuất,2.0,TT01,20/20,TA,TT01, ,, ,20,Thứ 6 ,2 3 4,B1-112.2 ,1 ,,,,,,,,
401703 ,Mô hình hóa & sự cố,3.0,P01,15/60,V,P01,Nguyễn Đức Hưng ,, ,60,Thứ 6 ,4 5,B4-303 ,1 ,,,,,,,,
401709 ,ĐAMH hệ thống năng lượng,3.0,P01,15/60,V,P01,,, ,60,,,,1 ,,,,,,,,
401710 ,Ct&t/hợpcác B/biến Đổics,2.0,P01,15/60,V,P01,Nguyễn Văn Nhờ ,, ,60,Thứ 5 ,4 5 6,B1-315 ,1 ,,,,,,,,
401711 ,Mô h/h& đ/k cácb/b đổics,2.0,P01,16/60,V,P01,Nguyễn Đình Tuyên ,, ,60,Thứ 3 ,2 3 4,B4-301 ,1 ,,,,,,,,
402706 ,Tiến hành thực nghiệm,2.0,P01,4/5000,V,P01,Lại Thị Hương ,, ,5000,,,,1 ,,,,,,,,
402708 ,ĐAMH thiết kế kỹ thuật,3.0,P01,2/5000,V,P01,Lại Thị Hương ,, ,5000,,,,1 ,,,,,,,,
403302 ,Thực Tập Tốt Nghiệp,3.0,T01,0/200,V,T01,,, ,200,,,,1 ,,,,,,,,
403303 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01,,, ,200,,,,1 ,,,,,,,,
403700 ,Luận văn tốt nghiệp,10.0,P01,1/300,V,P01,,, ,300,,,,1 ,,,,,,,,
403708 ,Năng lượng tái tạo (XD),2.0,P01,16/60,V,P01,Trần Công Binh ,, ,60,Thứ 3 ,11 12,B4-302 ,1 ,,,,,,,,
403750 ,Thực tập tốt nghiệp,0.0,P01,1/300,V,P01,,, ,300,,,,1 ,,,,,,,,
405507 ,Thí nghiệm thông tin số,1.0,TT01,18/30,TA,TT01,Đặng Ngọc Hạnh ,, ,30,Thứ 4 ,9 10 11,B1-209 ,1 ,,,,,,,,
405508 ,Thí nghiệm mạng máy tính,1.0,TT01,17/30,TA,TT01,Đặng Nguyên Châu ,, ,30,Thứ 6 ,4 5 6,B1-209 ,1 ,,,,,,,,
405700 ,Luận văn tốt nghiệp,10.0,P01,1/300,V,P01,,, ,300,,,,1 ,,,,,,,,
405700 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01,,, ,200,,,,1 ,,,,,,,,
405702 ,Tổng hợp tần số,1.0,P01,17/60,V,P01,Hoàng Mạnh Hà ,, ,60,Thứ 5 ,4 5,A4-312 ,1 ,,,,,,,,
405703 ,Đ/tử học tần số vô tuyến,2.0,P01,16/60,V,P01,Hoàng Mạnh Hà ,, ,60,Thứ 2 ,2 3,A4-312 ,1 ,,,,,,,,
405704 ,Các kỹ thuật vi ba,2.0,P01,20/60,V,P01,Huỳnh Phú Minh Cường ,, ,60,Thứ 2 ,11 12,B4-401 ,1 ,,,,,,,,
405705 ,Khuếch đại sóng vi ba,1.0,P01,19/60,V,P01,Huỳnh Phú Minh Cường ,, ,60,Thứ 3 ,4 5,B1-201 ,1 ,,,,,,,,
405709 ,Lý thuyết t/hiệu- mã hóa,2.0,P01,15/60,V,P01,Nguyễn Thanh Tuấn ,, ,60,Thứ 3 ,7 8 9,B10-203 ,1 ,,,,,,,,
405710 ,Xử lý thống kê tín hiệu,2.0,P01,15/60,V,P01,Đỗ Hồng Tuấn ,, ,60,Thứ 4 ,4 5 6,C6-403 ,1 ,,,,,,,,
405711 ,Xử lý số h/ảnh &âm thanh,2.0,P01,16/60,V,P01,Đặng Nguyên Châu ,, ,60,Thứ 2 ,9 10,B1-313 ,1 ,,,,,,,,
405714 ,Thông tin di động,2.0,P01,14/60,V,P01,Hồ Văn Khương ,, ,60,Thứ 6 ,2 3 4,B4-504 ,1 ,,,,,,,,
405725 ,Mạng Ip,3.0,P01,18/60,V,P01,Nguyễn Chí Ngọc ,, ,60,Thứ 5 ,11 12,B1-208 ,1 ,,,,,,,,
405750 ,Thực tập tốt nghiệp,0.0,P01,1/300,V,P01,,, ,300,,,,1 ,,,,,,,,
407702 ,ĐAMH tin học,2.0,P01,5/5000,V,P01,Đặng Thành Tín ,, ,5000,,,,1 ,,,,,,,,
408711 ,Khí cụ điện,2.0,P01,16/60,V,P01,Nguyễn Xuân Cường ,, ,60,Thứ 3 ,11 12,B4-401 ,1 ,,,,,,,,
409302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,,, ,200,,,,1 ,,,,,,,,
409303 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01,,, ,200,,,,1 ,,,,,,,,
440302 ,Thực tập tốt nghiệp,3.0,T01,2/200,V,T01,,, ,200,,,,1 ,,,,,,,,
440303 ,Luận văn tốt nghiệp,10.0,T01,1/200,V,T01,,, ,200,,,,1 ,,,,,,,,
500302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,,, ,200,,,,1 ,,,,,,,,
500303 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01,,, ,200,,,,1 ,,,,,,,,
501302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,,, ,200,,,,1 ,,,,,,,,
501303 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01,,, ,200,,,,1 ,,,,,,,,
501706 ,Thực hành tin học,2.0,P01,16/20,V,P01,Nguyễn Xuân Minh ,, ,20,Thứ 2 ,2 3 4,B10-303 ,1 ,,,,,,,,
504302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,,, ,200,,,,1 ,,,,,,,,
504303 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01,,, ,200,,,,1 ,,,,,,,,
5X0303 ,Khóa Luận/Thi TN (ĐH),10.0,X01,1/100,V,X01,Nguyễn Thị Kim Cương ,, ,100,,,,1 ,,,,,,,,
5X0631 ,Đồ án 1,1.0,X01,0/200,V,X01,Trần Quang ,, ,200,,,,1 ,,,,,,,,
5X0632 ,Đồ án 2,1.0,X01,0/200,V,X01,Nguyễn Thị Kim Cương ,, ,200,,,,1 ,,,,,,,,
5X0633 ,Đồ án 3,2.0,X01,0/200,V,X01,Nguyễn Thanh Bình ,, ,200,,,,1 ,,,,,,,,
600302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,Nguyễn Kim Trung ,, ,200,,,,1 ,,,,,,,,
600303 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01,,, ,200,,,,1 ,,,,,,,,
601302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,Nguyễn Kim Trung ,, ,200,,,,1 ,,,,,,,,
601303 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01,Nguyễn Kim Trung ,, ,200,,,,1 ,,,,,,,,
602302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,Nguyễn Ngọc Điền ,, ,200,,,,1 ,,,,,,,,
602303 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01,Nguyễn Quang Long ,, ,200,,,,1 ,,,,,,,,
603302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,Nguyễn Thị Hiền ,, ,200,,,,1 ,,,,,,,,
603303 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01,Trần Thị Thu Trà ,, ,200,,,,1 ,,,,,,,,
604302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,Lê Minh Viễn ,, ,200,,,,1 ,,,,,,,,
604303 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01,Lê Minh Viễn ,, ,200,,,,1 ,,,,,,,,
605302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,Nguyễn Sĩ Xuân Ân ,, ,200,,,,1 ,,,,,,,,
605303 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01,Trần Lê Hải ,, ,200,,,,1 ,,,,,,,,
606302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,Lê Vũ Hà ,, ,200,,,,1 ,,,,,,,,
606303 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01,Lê Thị Hồng Nhan ,, ,200,,,,1 ,,,,,,,,
607302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,Võ Thanh Phúc ,, ,200,,,,1 ,,,,,,,,
607303 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01,Hoàng Mỹ Dung ,, ,200,,,,1 ,,,,,,,,
608302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,,, ,200,,,,1 ,,,,,,,,
608303 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01,,, ,200,,,,1 ,,,,,,,,
610302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,Phạm Thị Thanh Thúy ,, ,200,,,,1 ,,,,,,,,
610303 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01,Hồ Thị Ngọc Hà ,, ,200,,,,1 ,,,,,,,,
611302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,,, ,200,,,,1 ,,,,,,,,
611303 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01,,, ,200,,,,1 ,,,,,,,,
701302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,,, ,200,,,,1 ,,,,,,,,
701303 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01,,, ,200,,,,1 ,,,,,,,,
800700 ,Luận văn tốt nghiệp,20.0,P01,5/300,V,P01,Võ Thị Tuyết Giang ,, ,300,,,,1 ,,,,,,,,
800704 ,KT điện nước trg toà nhà,1.0,P01,16/60,V,P01,Nguyễn Quang Trưởng ,, ,60,Thứ 4 ,5 6,B10-203 ,1 ,,,,,,,,
800706 ,Chuyên đề,1.0,P01,16/60,V,P01,Lê Anh Tuấn ,, ,60,,,,1 ,,,,,,,,
800709 ,Luật xây dựng,1.0,P01,20/60,V,P01,Phạm Hồng Luân ,, ,60,Thứ 2 ,11 12,B2-202 ,1 ,,,,,,,,
800752 ,Thực tập cán bộ kỹ thuật,5.0,P01,1/5000,V,P01,Võ Thị Tuyết Giang ,, ,5000,,,,1 ,,,,,,,,
801302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,Vũ Việt Hùng ,, ,200,,,,1 ,,,,,,,,
801303 ,Luận văn tốt nghiệp,10.0,T01,1/200,V,T01,Nguyễn Xuân Long ,, ,200,,,,1 ,,,,,,,,
802709 ,Điều hòa không khí,2.0,P01,16/60,V,P01,Nguyễn Thế Bảo ,, ,60,Thứ 6 ,7 8 9,B1-310 ,1 ,,,,,,,,
802711 ,Tòa nhà & năng lượng,2.0,P01,18/60,V,P01,Nguyễn Thế Bảo ,, ,60,Thứ 5 ,2 3 4,B1-307 ,1 ,,,,,,,,
803302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,Lê Tuấn Anh ,, ,200,,,,1 ,,,,,,,,
803303 ,Luận văn tốt nghiệp,10.0,T01,1/200,V,T01,Vũ Xuân Dũng ,, ,200,,,,1 ,,,,,,,,
804302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,,, ,200,,,,1 ,,,,,,,,
804303 ,Luận văn tốt nghiệp,10.0,T01,2/200,V,T01,,, ,200,,,,1 ,,,,,,,,
805705 ,Đào sâu & cải tạo đất,2.0,P01,16/60,V,P01,Lê Trọng Nghĩa ,, ,60,Thứ 6 ,2 3 4,B10-206 ,1 ,,,,,,,,
807703 ,Quản lý dự án xây dựng 2,2.0,P01,17/60,V,P01,Phạm Hồng Luân ,, ,60,Thứ 5 ,10 11 12,B4-303 ,1 ,,,,,,,,
807704 ,Kinh tế xây dựng,2.0,P01,12/60,V,P01,Lương Đức Long ,, ,60,Thứ 4 ,2 3 4,B10-203 ,1 ,,,,,,,,
808302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,Nguyễn Quang Trưởng ,, ,200,,,,1 ,,,,,,,,
808303 ,Luận văn tốt nghiệp,10.0,T01,1/200,V,T01,Nguyễn Quang Trưởng ,, ,200,,,,1 ,,,,,,,,
810302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,,, ,200,,,,1 ,,,,,,,,
810303 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01,,, ,200,,,,1 ,,,,,,,,
812302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,Nguyễn Ngọc Thành ,, ,200,,,,1 ,,,,,,,,
812303 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01,,, ,200,,,,1 ,,,,,,,,
813040 ,ĐA kiến trúc công cộng 4,6.0,L01,0/5000,V,L01,Huỳnh Nam Hưng ,, ,5000,,,,1 ,,,,,,,,
813302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,Nguyễn Quốc Vinh ,, ,200,,,,1 ,,,,,,,,
813303 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01,Nguyễn Quốc Vinh ,, ,200,,,,1 ,,,,,,,,
813702 ,K/g âm thanh và ánh sáng,2.0,P01,15/60,V,P01,Trần Công Danh ,, ,60,Thứ 3 ,4 5 6,B1-307 ,1 ,,,,,,,,
813703 ,T/kế m/trường chất l/cao,2.0,P01,16/60,V,P01,Lê Thị Hồng Na ,, ,60,Thứ 2 ,2 3 4,B8-304 ,1 ,,,,,,,,
813704 ,Phân tích đô thị,2.0,P01,16/60,V,P01,Phạm Đức Thắng ,, ,60,Thứ 5 ,7 8 9,B10-203 ,1 ,,,,,,,,
AS2015 ,Thực tập cơ kỹ thuật 1,1.0,L01,25/30,V,L01,Phạm Quốc Hưng ,, ,30,Thứ 6 ,7 8 9,C2-XUONGC2 ,1 ,,,,,,,,
AS2015 ,Thực tập cơ kỹ thuật 1,1.0,L02,25/30,V,L02,Phạm Quốc Hưng ,, ,30,Thứ 6 ,10 11 12,C2-XUONGC2 ,1 ,,,,,,,,
AS2015 ,Thực tập cơ kỹ thuật 1,1.0,L03,22/30,V,L03,Phạm Quốc Hưng ,, ,30,Thứ 6 ,3 4 5,C2-XUONGC2 ,1 ,,,,,,,,
AS2031 ,Đồ án môn học-thiếtkế kt,2.0,L01,29/5000,V,L01,Nguyễn Tường Long ,, ,5000,,,,1 ,,,,,,,,
AS2031 ,Đồ án môn học-thiếtkế kt,2.0,T01,0/200,V,T01,Nguyễn Tường Long ,, ,200,,,,1 ,,,,,,,,
AS2041 ,Thực tập kỹ thuật (NT),1.0,T01,0/200,V,T01, ,, ,200,,,,1 ,,,,,,,,
AS2045 ,Đồ án thiết kế cơ sở,1.0,L01,5/5000,V,L01,Trần Trung Tín ,, ,5000,,,,1 ,,,,,,,,
AS2045 ,Đồ án thiết kế cơ sở,1.0,T01,0/200,V,T01, ,, ,200,,,,1 ,,,,,,,,
AS3011 ,Thực tập cơ kỹ thuật 2,1.0,L01,2/5000,V,L01,Nguyễn Duy Khương ,, ,5000,,,,1 ,,,,,,,,
